main-is-clean-and-synchronized-with-origin-main	drop-event	Session bookkeeping: working tree clean at that moment. Zero validity tomorrow.
macos-session-collector-supports-claude-and-codex-transcripts	drop-value	Restates tools/session_collector/README.md and a commit message.
session-collector-cli-was-separated-for-gazelle-packaging	drop-value	Restates a commit message about a file move.
knowledge-evidence-lanes-were-hardened-against-stpa-logic-hazards	drop-value	Restates a commit message; lists feature names with no behaviour or failure mode.
the-ember-session-knowledge-feed-is-enabled-with-a-pinned-floor	keep-borderline	Config state with a real reason (pinned floor stops chart rolls resetting the export), but the reason deserves to be the claim.
session-collector-jsonl-fixtures-are-excluded-from-prettier	drop-value	Restates .prettierignore.
the-reported-a196c473b-commit-is-not-current-head	drop-event	Bookkeeping about which SHA was HEAD during one verification pass.
knowledge-graph-feed-timing-and-batch-settings	drop-value	Three constants copied from kg_feed.py:25-27.
knowledge-graph-feed-watermark-column	drop-value	Names a column; one grep answers it.
knowledge-extraction-version	drop-value	Restates a single string constant.
knowledge-extraction-limits	drop-value	Two constants copied from extraction.py:35-36.
extractable-knowledge-sources	drop-value	Restates a set literal.
qwen-session-start-returned-session-id-23	drop-event	One session-start returned an id. No reusable content.
session-23-transitioned-from-running-to-warn	drop-event	One session's status poll sequence.
warned-session-detail-reported-an-embervm-http-500	drop-event	One session's HTTP 500. The failure class is worth an atom; this instance is not.
ci-test-requires-positive-test-evidence	keep-behavioural	Constraint plus failure mode: zero exit is not evidence, a test summary is. Verified at bazel/tools/ci/ci:327-359.
ci-test-cleans-temporary-output-on-interruption	keep-borderline	True behaviour (trap on RETURN/INT/TERM) but thin and low consequence.
pipe-masking-is-blocked-for-ci-and-bb-remote-commands	keep-behavioural	Hook blocks piped ci output and allows tee. Names what is forbidden and the one escape.
the-pipe-mask-hook-is-registered-and-bazel-tested	drop-value	Restates .claude/settings.json and a BUILD target; derivable by opening one file.
ci-test-uses-affected-targets-by-default-and-explicit-targets-when-supplied	keep-behavioural	Dispatch rule: no targets means affected-only, targets means explicit bb remote with locked flags.
ci-test-mirrors-ci-runner-resource-requests	drop-value	Copies three resource numbers out of the script.
deployment-completion-requires-live-rollout-verification	drop-value	Restates the pr-workflow skill's completion checklist verbatim.
qwen-monolith-session-29-was-accepted	drop-duplicate	Same shape as 13 (qwen-session-start-returned-session-id-23), different id.
completed-monolith-session-can-report-warn-status	drop-duplicate	Same shape as 14 (session-23-transitioned-from-running-to-warn).
qwen-answered-jupiter-as-the-largest-planet	drop-event	Records that a model answered a trivia question in one turn.
the-meaning-of-warn-status-was-not-established	drop-event	An explicit non-finding: the session could not establish what warn means. Atom 166 answers it from code.
manifest-generators-read-tracked-paths-from-the-working-tree	keep-behavioural	Causal with a failure path: generators list tracked paths but read the working tree, so uncommitted edits leak into manifests and untracked files vanish.
repository-changes-must-be-made-in-a-dedicated-worktree	drop-value	Restates AGENTS.md:7-15.
buildbuddy-remote-success-requires-test-summary-evidence	drop-duplicate	Same claim as 16 (ci-test-requires-positive-test-evidence), same lines of ci.
